Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
Simple Energy,Automotive,Pre-Series,21000000,Bangalore,A Research and development driven company on a mission to build the future of mobility that is electric and connected.,2021-01-01
Dream Sports,Sports,Seed,840000000,Mumbai,"Dream Sports is India’s leading sports technology company with brands such as Dream11, world’s largest fantasy sports platform",2021-01-01
Spinny,Automotive,Series E,248000000,Gurugram,Spinny is a new age used car end-to-end platform in India.,2021-01-01
Rentomojo,Furniture Rental,Seed,10000000,Bangalore,"Furniture, appliances, electronics, and fitness products on monthly rental subscriptions.",2021-01-01
Slice,Financial Services,Series B,220000000,Bangalore,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",2021-01-01
21K School,E-Learning,Pre-Series A,5000000,Bangalore,"21K School is India's First Online School that provides a complete online school experience and personalized learning – anytime, anywhere.",2021-01-01
Adda247,E-Learning,Series B,20000000,Gurugram,"The multilingual edtech platform provides 360 degree learning solutions catering to all major educational needs of Tier II, tier III including online courses for  competitive exams",2021-01-01
Loop Health,Hospital & Health Care,Seed,12000000,Pune,India's first health insurance with unlimited primary care for employees.,2021-01-01
Rupifi,Financial Services,Debt,1000000,Bangalore,Embedded Lending for Small Businesses,2021-01-01
RENEE Cosmetics,Cosmetics,Pre-Series A,1500000,Ahmedabad,"RENÉE Cosmetics is an Indian makeup brand empowering bold & beautiful women with innovative, cruelty-free products.",2021-01-01
Svish,Consumer Goods,Seed,400000,Gurugram,D2C personal hygiene startup,2021-01-01
Progcap,Fintech,Series C,30000000,New Delhi,"Progcap (Desiderata Impact Ventures Private Limited) is a mission-driven, inclusive financing technology firm",2021-01-01
Smartstaff,Recruitment,Seed,4300000,Bangalore,Smartstaff (previously Qikwork) is a full stack blue-collar workforce management platform.,2021-01-01
D’Moksha Homes,Textiles,Seed,570000,Mumbai,"Artisans handcraft exquisite and environment-friendly home linens using only the most sustainable fabrics like linen, hemp, and lyocell.",2021-01-01
ANS Commerce,E-Commerce,Pre-Series A,2200000,Gurugram,ANS Commerce is India’s #1 full-stack e-commerce enabler helping brands sell online.,2021-01-01
Mobileware Technologies,Information Technology & Services,Seed,4700000,Mumbai,"A mobile applications development platform for technologies including Symbian, Blackberry, and early versions of iOS and Android.",2021-01-01
GramCover,Insurance,Series A,7000000,Noida,GramCover is a tech-enabled insurance marketplace for rural India.,2021-01-01
BYJU'S,Edtech,Seed,300000000,Bangalore,BYJU’S is India's largest ed-tech company and the creator of India’s most loved school learning app.,2021-01-01
Hyperface,Information Technology & Services,Seed,1300000,Bangalore,Empowering Brands and Fintechs to offer banking products contextually to their customers.,2021-01-01
Licious,Food & Beverages,Series G,52000000,Bangalore,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.",2021-01-01
Chalo,Mobility,Series C,40000000,Mumbai,India’s #1 bus transport technology company.,2021-01-01
Kaar Technologies,Information Technology & Services,Seed,4000000,Chennai,"Kaar Technologies is an SAP global consultancy firm that designs, delivers and deploys cutting-edge SAP solutions for businesses around the world.",2021-01-01
Kissan Pro,Farming,Seed,3000000,Jharkhand,"Full stack solution on agri advisory, input purchase and market linkage",2021-01-01
Sunstone Eduversity,Edtech,Series B,28000000,Gurugram,Sunstone Eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,2021-01-01
Ozonetel,Telecommunications,Series A,5000000,Hyderabad,Ozonetel is leading Cloud Telephony solution provider.,2021-01-01
CoinSwitch Kuber,Cryptocurrency,Series C,260000000,Bangalore,"CoinSwitch Kuber is the largest crypto trading platform in India with a user base of 10M+, in just 15 months and growing every second.",2021-01-01
Pazcare,Insurance,Seed,3500000,Bangalore,Paz Care is India's leading Employee Benefits & Health insurance platform,2021-01-01
kWh Bikes,Automotive,Seed,2000000,Bangalore,Building India’s strongest and smartest electric 2 wheelers,2021-01-01
IBSFINtech,Information Technology & Services,Pre-Series A,1000000,Bangalore,"Driving Digitization & Automation of Cash & Liquidity, Risk, Treasury & Trade Finance functions of the Corporate.",2021-01-01
LeadSquared,Computer Software,Seed,3000000,Bangalore,"LeadSquared is a marketing automation and sales execution platform that helps businesses increase their closures, manage their pipelines",2021-01-01
Phool.co,Renewables & Environment,Seed,3000000,Kanpur,Flowercycling technologies to upcycle cellulose waste and specialises in manufacturing charcoal-free incense and other wellness products,2021-01-01
Twin Health,"Health, Wellness & Fitness",Series C,140000000,Chennai,Twin Health invented the Whole Body Digital Twin™ to help reverse and prevent chronic metabolic diseases.,2021-01-01
Trica,Equity Management,Seed,3000000,Mumbai,Powering private markets - A technology platform for startups and investors.,2021-01-01
mHealth,"Health, Wellness & Fitness",Seed,3000000,New Delhi,mHealth  is AI based corporate wellness platform  to spread happiness & well-being,2021-01-01
Rebel Foods,Cloud Kitchen,Series F,175000000,Mumbai,"World’s largest internet restaurant company. Building Unique, Memorable, Delightful & Sure delivery-only restaurants.",2021-01-01
ProfitWheel,Marketing & Advertising,Seed,3000000,Mumbai,ProfitWheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,2021-01-01
Log 9 Materials,Nanotechnology,Seed,2000000,Bangalore,Log9 Materials is on a mission to make global energy 100% clean.,2021-01-01
Chingari,Entertainment,Seed,19000000,Bangalore,"Chingari - Bharat Ka Super Entertainment App. A unique and fun short video app, can create interesting videos and share them with the world.",2021-01-01
Ishitva,Computer Software,Pre-Series A,1000000,Ahmedabad,"Sort to create value’ using #AI, #Robotics and #AirSorter to achieve a #circulareconomy with environmental benefits.",2021-01-01
Ola Electric,Automotive,Seed,200000000,Bangalore,Sustainability for the future.,2021-01-01
leap.club,Community,Pre-Series A,810000,Gurugram,A community-led professional network for women,2021-01-01
F5,Retail,Pre-Series A,600000,New Delhi,One-Stop Solution for Daily Workplace Needs,2021-01-01
ForeignAdmits,Higher Education,Seed,400000,Bangalore,“foreignadmits” aims at addressing one of the biggest problems of personalized mentoring for students aiming to pursue higher education and eventually become an expert in their desired discipline of study.,2021-01-01
SALT,Financial Services,Pre-Seed,500000,Bangalore,Salt is a neo-banking experience created to cater to international businesses.,2021-01-01
EarnWealth,Financial Services,Pre-Series A,500000,Pune,"EarnWealth is India's First Social Commerce FinTech which enables Financial Consultants, Mutual Fund Distributors, Insurance Agents, Real Estate Consultants, Housewives, Retired People and Students to earn quick money by selling Loans, Credit Cards",2021-01-01
Visit Health,"Health, Wellness & Fitness",Seed,7500000,New Delhi,"Visit is a 360° integrated, highly engaging Health Benefits Platform- covering end to end health & wellness management.",2021-01-01
Crater.Club,Media,Seed,700000,Bangalore,"Crater is where you join 5000+ mentors, creators & experts while they stream their knowledge and skills live.",2021-01-01
NFTically,Nft,Seed,1000000,Gurugram,"NFTically is a global B2B SaaS that enables celebrities, influencers, gamers, clubs & enterprises to launch their own white-label NFT store or NFT Marketplace without any technical knowledge.",2021-01-01
ReshaMandi,B2B,Series A,30000000,Bangalore,"ReshaMandi provides a full-stack digital ecosystem in the form of a super app, from FARM to RETAIL.",2021-01-01
Zetwerk,Mechanical Or Industrial Engineering,Seed,600000000,Bangalore,ZETWERK is a universal manufacturing network powered by new-age technology.,2021-01-01
Hubilo,Software Startup,Series B,125000000,Ahmedabad,Hubilo is the leading hybrid event platform built for engagement and event excellence.,2021-01-01
M2P Fintech,Financial Services,Series C,35000000,Chennai,"M2P fintech was born out of the need to build highly scalable, secure yet nimble technology stack at the intersection of Mobility, Commerce and payments.",2021-01-01
Open Financial Technologies,Financial Services,Series C,90000000,Bangalore,Open is Asia’s first neobanking platform for SMEs and startups.,2021-01-01
Niro,Financial Services,Seed,3500000,Bangalore,Embedding personal credit products into leading consumer internet platforms.,2021-01-01
Wiingy,E-Learning,Seed,400000,Bangalore,The ultimate 1:1 live e-learning platform providing personalized hands-on learning for kids,2021-01-01
CarDekho,Automotive,Series E,250000000,Jaipur,Redefining the country’s personal mobility ecosystem with technologically enhanced solutions.,2021-01-01
Melorra,D2C,Seed,24000000,Bangalore,A company that styles jewellery for the contemporary wardrobe.,2021-01-01
AnKa SumMor,Sales And Distribution,Pre-Series A,1000000,Bangalore,"AnKa SumMor is the service that allows businesses to focus on building their brands, while they provide Supply & Distribution expertise.",2021-01-01
Toch.ai,Saas,Series A,11000000,Mumbai,"Toch is an AI-driven platform that helps broadcasters, OTT platforms, media platforms, and creators to revolutionize videos.",2021-01-01
Playto Labs,E-Learning,Seed,500000,Bangalore,Playto Labs provides robotics toys and online classes for kids to help them develop the key 21st century skills. Book a free trial for your child today at www.playtolabs.com,2021-01-01
Fraazo,Food & Beverages,Series B,50000000,Mumbai,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,2021-01-01
Arcana,Information Technology & Services,Seed,2300000,Bangalore,Arcana offers a Privacy Stack SDK to DApp developers on EVM compatible blockchains chains to build Privacy-First products.,2021-01-01
FloCareer,Information Services,Series A,5700000,Bangalore,"The Best Skills Validation Platform that provides ""Interview As-A-Service""?.",2021-01-01
Nap Chief,Apparel & Fashion,Seed,200000,Mumbai,India's favourite Kid's wear and Family Sleepwear D2C Brand,2021-01-01
AcknoLedger,Cryptocurrency,Seed,1500000,Mumbai,AcknoLedger is a Global platform that distributes Web 3.0 Digital Assets Seamlessly across all the Metaverses and Gaming,2021-01-01
ApplicateAI,Information Technology & Services,Series A,30000000,Gurugram,"‘ApplicateAI’ is an integrated AI BOT platform for Enterprise with defined and curated work-flows for Sales, Consumer Engagement and Employee support and engagement.",2021-01-01
VLCC Health Care,"Health, Wellness & Fitness",Seed,4000000,Gurugram,VLCC is today widely recognized for its comprehensive portfolio of beauty and wellness products and services,2021-01-01
Duroflex,Furniture,Seed,60000000,Bangalore,"5 decades of experience, superior quality and best in class innovation help us in bringing you a wide range of mattresses, pillows, protectors and other sleep solutions.",2021-01-01
Aviom India,Financial Services,Series C,8000000,Bhilwara,AVIOM India Housing Finance Pvt. Ltd. is a venture started by experienced professionals with a vision to improve the standard of living of families from the informal sector in rural areas,2021-01-01
Onato,Computer Software,Seed,2200000,Bangalore,A startup solving inefficiencies in the agri supply chain,2021-01-01
Mestastop Solutions,Biotechnology,Seed,100000,Bangalore,"Mestastop aims to provide a solution for such challenges with their unique proprietary platforms, METAssay, METSCAN, and METVivo.",2021-01-01
SaaS Labs,Saas,Series A,17000000,Noida,"Building high impact communication, workflow and productivity tools for sales and support teams throughout the globe.",2021-01-01
Devnagri,Translation & Localization,Seed,600000,Noida,"Devnagri is an AI powered human translation platform, working in all 22 Indian languages.",2021-01-01
CRED,Finance,Series E,250000000,Bangalore,CRED is a credit card payment platform that rewards users with points for paying their bills.,2021-01-01
ConveGenius,Education Management,Pre-Seed,5000000,Noida,An EdTech social enterprise focused on closing the gap in educational achievement for children and youth in India.,2021-01-01
Totality,Entertainment,Seed,1000000,Gurugram,"Totality with the goal of combining scalability through technology, innovation through design & retention through content.",2021-01-01
CredAble,Financial Services,Series B,30000000,Mumbai,CredAble provides liquidity programs for enterprise supply chains.,2021-01-01
MarketWolf,Financial Services,Seed,5500000,Mumbai,"MarketWolf provides everyone an opportunity to begin their trading journey with a unique digital platform that is bold, simple and fun.",2021-01-01
Wondrlab,Marketing & Advertising,Pre-Series A,7000000,Mumbai,India's largest platform-first martech startup,2021-01-01
SUN Mobility,Automotive,Seed,50000000,Bangalore,Provider of universal energy infrastructure and services to accelerate mass EV usage!,2021-01-01
Tamasha,Entertainment,Pre-Series A,3000000,Mumbai,"Tamasha, the next-generation interactive entertainment platform.",2021-01-01
Revfin,Financial Services,Pre-Series A,4000000,New Delhi,"RevFin is a financial technology (FinTech) company, advanced digital lending platform makes getting a loan convenient and accessible for customers",2021-01-01
Yu Foodlabs,Food & Beverages,Pre-Series A,1000000,Gurugram,Re-imagining Packaged Foods with Natural Ingredients & ZERO Preservatives,2021-01-01
MergerDomo,Investment Banking,Seed,500000,New Delhi,MergerDomo is the one-stop Global OnLine M&A marketplace for Corporate and Business Growth,2021-01-01
FarMart,Farming,Series A,10000000,Gurugram,FarMart is an agritech platform that helps businesses easily source high quality produce at reasonable prices.,2021-01-01
Questt,Edtech,Series A,6750000,Gurugram,Questt is a Free online homework app that lets teachers assign gamified homework to students.,2021-01-01
IDfy,Information Technology & Services,Series D,10000000,Mumbai,IDfy helps people and business build authentic relationships by ensuring that both parties are who they claim to be and can be trusted.,2021-01-01
ClearDekho,Retail,Pre-Series A,4000000,Ghaziabad,ClearDekho is India’s Leading Affordable Eyewear Brand.,2021-01-01
BookingJini,Hospitality,Pre-Series A,1200000,Gurugram,BookingJini strive to empower Hotels from all aspects ranging from customer outreach to automate their booking process and improve their online presence and revenue to stimulate Top-line and Bottom-line growth.,2021-01-01
Sourcewiz,Information Technology & Services,Seed,3000000,Gurugram,Building a platform for exporters to digitize their workflows and help them grow and manage their business.,2021-01-01
Tvasta,Mechanical Or Industrial Engineering,Seed,400000,Chennai,Developing new-age manufacturing and automation technologies that can increase human productivity by allowing deep personalization.,2021-01-01
Kafqa Academy,E-Learning,Seed,1300000,Bangalore,"Kafqa Academy is a global performing arts academy that offers classes in dancing, singing, and speech & drama.",2021-01-01
Trell,Social Commerce,Seed,100000000,Bangalore,Trell is turning over a new leaf with the wave of digitalization sweeping across the nation,2021-01-01
Storia,Food & Beverages,Series A,6000000,Mumbai,"Storia Foods and Beverages is committed to creating products that are natural, full of goodness and promote a healthy lifestyle.",2021-01-01
Clear,Computer Software,Series C,75000000,Bangalore,India’s leading FinTech SaaS platform,2021-01-01
Groww,Finance,Series E,250000000,Bangalore,Groww is on a mission to democratize access to financial services for millions of Indians responsibly.,2021-01-01
The Indus Valley,Consumer Goods,Seed,1100000,Chennai,Consumer GoodsThe Indus Valley is a Direct to Consumer (D2C) healthy kitchenware brand.,2021-01-01
BharatPe,Financial Services,Seed,10000000,New Delhi,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.",2021-01-01
Teachmint,E-Learning,Series B,78000000,Bangalore,Teachmint is an education infrastructure provider and India’s largest teaching platform.,2021-01-01
Porter,Logistics & Supply Chain,Series E,100000000,Bangalore,Porter is India's Largest Marketplace for Intra-City Logistics.,2021-01-01
O4S,Information Technology & Services,Series A,6000000,Gurugram,O4S SaaS helps Consumer Brands to Digitize and Automate their Supply Chain thereby increasing Sales and Performance.,2021-01-01
Wobb,Marketing,Pre-Seed,200000,Gurugram,The platform for marketers to find and work with influencers,2021-01-01
BASIC Home Loan,Financial Services,Series A,3500000,Gurugram,BASIC Home Loan is India's first automated platform for secured lending with special focus on the affordable housing segment.,2021-01-01
Siply,Financial Services,Pre-Series A,3200000,Bangalore,"A tech-enabled micro-savings platform, for the underserved masses, that makes it possible to save starting at Re. 1",2021-01-01
BankSathi,Financial Services,Seed,500000,New Delhi,"BankSathi is a Fintech platform to empower consumers to save money and time on financial products through safe, easy, and trustable shopping experience.",2021-01-01
Gramophone,Agritech,Seed,10000000,Indore,"Create a difference in farming by bringing timely information, technology and right kind of inputs to achieve better yields for farmers.",2021-01-01
Healofy,Femtech,Series B,6000000,Bangalore,Healofy was created with a mission to experience special motherhood through its products and its inexhaustive and evergrowing babycare tips,2021-01-01
E42,Computer Software,Series A,5400000,Pune,E42 is the world’s leading Natural Language Processing- based AI platform driving enterprise cognition across processes.,2021-01-01
Spottabl,Human Resources,Seed,400000,Bangalore,Spottabl is a technology driven recruitment platform that has helped over 50 tech startups and growth stage companies discover their top talent through its intelligent and human backed model.,2021-01-01
DeHaat,Information Technology & Services,Series D,115000000,Gurugram,DeHaat™ is one of the fastest growing start-ups in Agri Tech sector and one of the very few companies providing end-to-end solutions and services to the farming community in India.,2021-01-01
Shumee,Retail,Seed,3000000,Bangalore,"An Indian, mom-made toy brand passionate about making playtime development-friendly, child-safe, and sustainable. Our design philosophy is that play is 90% child and 10% toy.",2021-01-01
Zolve,Financial Services,Series A,40000000,Bangalore,World's first cross-border Neobank,2021-01-01
Instoried,Computer Software,Seed,8000000,Bangalore,"The platform helps content writers in e-commerce, news, FMCG, and other verticals to optimize emotions in their marketing content.",2021-01-01
SportZchain,Sports,Pre-Seed,400000,Mumbai,SportZchain is India's first blockchain based platform poised to disrupt a multi-billion dollar fan engagement industry.,2021-01-01
Hypto,Tech,Seed,3000000,Chennai,The next generation of web services that democratize access to finance for developers and businesses.,2021-01-01
CHUPPS,Foootwear,Pre-Series A,1100000,Mumbai,D2C footwear brand,2021-01-01
Zenduty,Computer Software,Pre-Series A,1900000,Bangalore,"Next-generation end-to-end incident response platform for SREs, DevOps, ITOps and Support teams",2021-01-01
R for Rabbit,Consumer Goods,Seed,5000000,Ahmedabad,The concept of R for Rabbit was conceived after the founder of the company was blessed with a baby.,2021-01-01
Acko,Insurance,Series D,255000000,Bangalore,ACKO is India’s first and fastest growing InsurTech company which makes buying and using insurance effortless.,2021-01-01
LoveLocal,Retail,Pre-Series B,18000000,Mumbai,LoveLocal (formerly known as m.Paani) is bringing Trusted Local Shops Online and empowering them to deliver the neighbourhood shopping experience of the future.,2021-01-01
SupplyNote,Food & Beverages,Pre-Series A,1200000,Noida,"SupplyNote is Cloud based web and mobile enabled suite connecting outlets, service providers and suppliers.",2021-01-01
Vakilsearch,Legal Services,Seed,10000000,Chennai,"India's largest Legal, Compliance & Tax services platform, and trusted partner in making legal simple!",2021-01-01
Cloudphysician,Hospital & Health Care,Pre-Series A,4000000,Bangalore,Cloudphysician is a healthtech company that is transforming the delivery of critical care.,2021-01-01
Wiggles.in,Veterinary,Pre-Series A,5500000,Pune,Wiggles India is a preventative healthcare brand for all things pets!,2021-01-01
Avanti Finance,Financial Services,Series A,15000000,Bangalore,A digital platform to make financial services accessible to 100 million unserved and underserved households across India,2021-01-01
Vanity Wagon,Consumer Goods,Pre-Series A,700000,New Delhi,Vanity Wagon is India's first true information oriented clean beauty marketplace.,2021-01-01
Purplle,E-Commerce,Seed,70000000,Mumbai,Purplle.com is one of India’s largest e-beauty destinations with more than 7 million monthly active users.,2021-01-01
Wallmantra,Arts & Crafts,Seed,3000000,Noida,WallMantra is a well reputed wall decoration online store in India.,2021-01-01
MFine,Hospital & Health Care,Series C,48000000,Bangalore,"MFine aims to make access to trusted healthcare simple, fast, and effective.",2021-01-01
Aquatein,Food & Beverages,Seed,3000000,Mumbai,India's First Protein Water in 21g and 10g Variants with BCAA.,2021-01-01
Mentza,E-Learning,Seed,400000,Mumbai,"Make great conversations accessible to everyone through a vibrant, small, safe, and easy real-time audio platform",2021-01-01
ConnectedH,Hospital & Health Care,Seed,2300000,Gurugram,Connect different sectors of healthcare system and give the patients complete control over their information.,2021-01-01
CredAvenue,Fintech,Series A,90000000,Chennai,CredAvenue is an organization on a mission to deepen and power the $120Trillion global enterprise debt market which would unlock a GDP multiplier and thus create massive economic value.,2021-01-01
Vedantu,E-Learning,Series E,100000000,Bangalore,Vedantu is a LIVE online learning platform that brings together students and teachers to achieve best results.,2021-01-01
Exotel,Telecommunications,Series C,35000000,Bangalore,"Asia's largest customer engagement platform, streamlining customer interactions for Swiggy, Ola, Flipkart, GoJek etc.",2021-01-01
Fantasy Akhada,Sports,Series A,2000000,Gurugram,Fantasy Akhada is one of India's fastest growing Fantasy Sports Platform.,2021-01-01
Meesho,Social Commerce,Seed,570000000,Bangalore,Meesho is India’s largest marketplace for longtail products.,2021-01-01
PumPumPum,Automotive,Seed,3000000,Gurugram,Pumpumpum is empowering millennials with a smart car subscription model. We provide monthly subscription of pre-owned cars at affordable rates.,2021-01-01
Cusmat,Computer Software,Pre-Series A,100000,Hyderabad,CUSMAT is India’s largest immersive skilling and training platform.,2021-01-01
Homeville,Information Technology & Services,Seed,7000000,Mumbai,A technology company focused on helping people buy their first home with down payment assistance at zero interest cost.,2021-01-01
Coinshift,Blockchain,Seed,2500000,Chandigarh,CoinShift helps businesses and decentralised autonomous organisations (DAO's) manage their crypto easily,2021-01-01
Strip Finance,Financial Services,Seed,400000,Hyderabad,Collateralised NFT & DeFi Liquidity Protocol With Interest Rate Discovery.,2021-01-01
Ola Electric,Automotive,Seed,200000000,Bangalore,Charging ahead to accelerate the world’s transition to sustainable mobility.,2021-01-01
Kolo,Construction,Pre-Seed,550000,Bangalore,Home construction app for finding ideas and service providers near you,2021-01-01
Chqbook,Fintech,Pre-Series B,5000000,Gurugram,"Chqbook.com is India’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.",2021-01-01
My3DSelfie,Arts & Crafts,Pre-Series A,3000000,Guwahati,World's first to create 3d figurine from photos,2021-01-01
EV Plugs,Information Technology & Services,Seed,150000,Gurugram,EV charging station aggregator platform,2021-01-01
Rulezero,Financial Services,Seed,2500000,Bangalore,"Rulezero is a legal/fintech startup reimagining private markets by building an intelligent platform that enables stakeholder participation and capital flow in a transparent, efficient and compliant manner.",2021-01-01
CredRight,Financial Services,Seed,2700000,Hyderabad,"CredRight is a new age digital lending company 100% focused on Micro & Small businesses, making the process of availing loans simple",2021-01-01
Karbon Card,Fintech,Pre-Series A,12000000,Bangalore,"Empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.",2021-01-01
Auntie Fung,Food & Beverages,Seed,400000,Bangalore,Serving delectable and eclectic pan-Asian fare to all foodies in a quick-service & healthy format,2021-01-01
ePayLater,Financial Services,Series B,10000000,Mumbai,ePaylater is a payment solution that aims to separate the experience of shopping from the hassles of payment process.,2021-01-01
Fittr,"Health, Wellness & Fitness",Series A,11000000,Pune,"FITTR’s mission is to reach out to 50 million people and make them fit, create jobs in the fitness industry, teach people how easy it is to stay fit and move together as a Wolfpack.",2021-01-01
Medikabazaar,Healthtech,Series C,75000000,Mumbai,"Medikabazaar, India’s pioneering and largest online B2B marketspace for medical supplies and equipment.",2021-01-01
Nimble Growth Organics,Farming,Seed,3000000,Bangalore,Nimble Growth Organics is the new age Agri startup which through its proprietary package of practice (PoP) cultivates organic fruits & vegetables and ensure that authentic food reaches plate.,2021-01-01
Delhivery,Logistics & Supply Chain,Seed,125000000,Gurugram,Delhivery is a leading logistics and supply chain services company in India.,2021-01-01
Akudo,Financial Services,Seed,4200000,Bangalore,A Learning-First Neobank for teenagers - Enable practical financial education for child today,2021-01-01
Sanctum Wealth,Investment Management,Seed,10000000,Mumbai,Sanctum is an Indian wealth management firm which has acquired RBS India’s Private Banking business.,2021-01-01
88academics,Education,Pre-Series A,3000000,New Delhi,88academics an 88tuition Pte Ltd has been established with the social objective of making quality video-based learning material available to all students.,2021-01-01
Upgame,Sports,Seed,3000000,Gurugram,Upgame is the leading data intelligence and practice tracking platform for golfers,2021-01-01
Sanfe,"Health, Wellness & Fitness",Series A,1000000,New Delhi,India’s revolutionary feminine hygiene and period care brand that strives to build a better world for women.,2021-01-01
PredictiVu,Management Consulting,Pre-Seed,1500000,Gurugram,"PredictiVu's AI-enabled dashboard integrated with India's largest, proprietary, weekly consumer purchase data, market intelligence and web insights",2021-01-01
Sterling Accuris Wellness,Hospital & Health Care,Seed,30000000,Ahmedabad,"STERLING ACCURIS WELLNESS PRIVATE LIMITED is a hospital & health care company based out of 3-FLOOR HERITAGE COMPLEX, NR.",2021-01-01
Bijnis,B2B,Series B,30000000,New Delhi,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their Demand/Supply/Captial/Operations.,2021-01-01
Capital Float,Financial Services,Seed,50000000,Bangalore,India's leading BNPL and digital credit platform serving millions of aspirational individuals.,2021-01-01
Manch Technologies,Information Technology & Services,Pre-Series A,1000000,Bangalore,"A Single Click Work Flow E-Sign solution to conduct speedy, accurate, efficient transactions through a “cash-less, presence-less, paperless” framework.",2021-01-01
Glamyo Health,Hospital & Health Care,Series A,3000000,New Delhi,Glamyo Health is an advanced healthcare co delivering a seamless experience for elective surgeries.,2021-01-01
CashBook,Fintech,Seed,2300000,Gurugram,"CashBook is a digital record-keeping app using which businesses can add entries, segregate records, and find overall balance instantly.",2021-01-01
The Money Club,Financial Services,Pre-Series A,1700000,Noida,The Money Club is a mobile platform for peer to peer chit funds.,2021-01-01
SuperZop,Retail,Series A,4000000,Mumbai,SuperZop is India's first and only vernacular B2B Grocery e-commerce platform that is transforming the unorganized retail sector.,2021-01-01
Zypp Electric,Logistics & Supply Chain,Series A,7000000,Gurugram,"Zypp is working to convert all deliveries for e-commerce, grocery, medicine and food vertical to go electric with e-scooter sharing app.",2021-01-01
Alpha Coach,Professional Training & Coaching,Seed,1200000,Mumbai,One to One Personal Fitness Coaching,2021-01-01
VRO Hospitality,Hospitality,Series A,3000000,Bangalore,One of the fastest-growing hospitality companies based out of Bangalore.,2021-01-01
byteXL,E-Learning,Seed,200000,Hyderabad,"ByteXL is the first-ever, one-stop-shop for self-learning course work and guided training – preparing a new generation of coders for the workforce.",2021-01-01
Leena AI,Computer Software,Series B,30000000,Gurugram,AI to help enterprises transform the employee experience.,2021-01-01
CARS24,Automotive,Series F,450000000,Gurugram,"CARS24 is proud to be a tech-first organisation, looking to make inroads into the global auto-tech market in groundbreaking ways.",2021-01-01
Klub,Financial Services,Debt,2000000,Bangalore,"A team of fintech, investment banking, venture capital, and technology veterans who bring a founder-first mindset.",2021-01-01
Bluepad,Online Media,Pre-Seed,200000,Bangalore,A one-stop solution for aggregated content  in vernacular languages,2021-01-01
FloBiz,Information Technology & Services,Series B,31000000,Bangalore,Neobank for Growing SMBs. Simplify GST Billing & Accounting needs with myBillBook App.,2021-01-01
Tummoc,Mobility,Seed,540000,Bangalore,Tummoc helps track and find actionable & accurate bus/metro/suburban rail intracity travel information.,2021-01-01
Design Cafe,Design,Seed,25000000,Bangalore,Design Cafe is on a mission to democratize good design for homes in India.,2021-01-01
PayCardo,Financial Services,Pre-Seed,3000000,Pune,A true Contactless & Cashless and secure payment system reducing cash dependency,2021-01-01
Aerchain,Computer Software,Pre-Series A,3000000,Bangalore,Advance Source-to-Pay cycle to a new level with Artificial Intelligence!,2021-01-01
Expertrons,E-Learning,Seed,3000000,Mumbai,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,2021-01-01
CuriousJr,E-Learning,Seed,1000000,Gurugram,CuriousJr is a platform to answer kids' curiosity and prepare them for 21st-century skills.,2021-01-01
Wow! Momo,Food & Beverages,Series C,15000000,Kolkata,WOW! Momo is one of the fastest-growing food brands in India.,2021-01-01
Supertails,Consumer Services,Seed,700000,Bangalore,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,2021-01-01
LifeCell,Biotechnology,Seed,30000000,Chennai,A building block of the team that preserves the building blocks of life,2021-01-01
ZestMoney,Financial Services,Series C,50000000,Bangalore,"ZestMoney helps make it accessible for millions to upgrade, to enhance, to rise, while keeping it affordable.",2021-01-01
FrontRow,E-Learning,Series A,14000000,Bangalore,"FrontRow enables everyone to pursue their passions - get better, learn from the best and get noticed!",2021-01-01
HappyCredit,Fintech,Pre-Seed,600000,Bangalore,"HappyCredit is on a mission to make online shopping delightful for 400mn bharat shoppers with credit, rewards, shopping inspiration and more.",2021-01-01
Endimension,Healtcare,Seed,300000,Mumbai,Endimension Technology is a healthcare Artificial Intelligence startup incubated at IIT Bombay.,2021-01-01
Frenzi,Online Media,Seed,3000000,Mumbai,India’s Fastest Growing Streaming Social Network,2021-01-01
Leverage Edu,Higher Education,Seed,3000000,New Delhi,India's Most Trusted Study Abroad Platform,2021-01-01
BeepKart,Automotive,Seed,3000000,Bangalore,BeepKart is building a platform to digitize and organize the used two-wheeler market.,2021-01-01
Lio,Computer Software,Seed,5000000,Pune,"Lio is the one app for all data where you can create, keep records and track all the records",2021-01-01
TravClan,B2B,Pre-Series A,2200000,New Delhi,A mission to solve a genuine problem faced by millions of travel entrepreneurs across the world.,2021-01-01
